Date,Time,Open,High,Low,Close,Volume,OpenInt
2018-01-31,02:00:00,153.927,154.309,153.903,154.042,0,0
2018-01-31,03:00:00,154.059,154.345,153.905,154.012,0,0
2018-01-31,04:00:00,154.015,154.217,153.954,154.181,0,0
2018-01-31,05:00:00,154.188,154.428,154.157,154.38,0,0
2018-01-31,06:00:00,154.381,154.383,154.23,154.257,0,0
2018-01-31,07:00:00,154.26,154.322,154.1,154.216,0,0
2018-01-31,08:00:00,154.228,154.426,154.167,154.336,0,0
2018-01-31,09:00:00,154.371,154.417,154.173,154.192,0,0
2018-01-31,10:00:00,154.191,154.332,154.001,154.191,0,0
2018-01-31,11:00:00,154.207,154.27,153.568,153.575,0,0
2018-01-31,12:00:00,153.579,153.972,153.579,153.972,0,0
2018-01-31,13:00:00,153.974,154.047,153.761,154.034,0,0
2018-01-31,14:00:00,154.029,154.279,153.905,154.274,0,0
2018-01-31,15:00:00,154.268,154.436,154.158,154.433,0,0
2018-01-31,16:00:00,154.436,154.436,154.146,154.398,0,0
2018-01-31,17:00:00,154.411,155.283,154.275,155.265,0,0
2018-01-31,18:00:00,155.251,155.348,155.018,155.088,0,0
2018-01-31,19:00:00,155.104,155.202,155.021,155.124,0,0
2018-01-31,20:00:00,155.124,155.126,154.885,155.009,0,0
2018-01-31,21:00:00,154.998,155.038,154.676,154.676,0,0
2018-01-31,22:00:00,154.647,155.016,154.637,154.993,0,0
2018-01-31,23:00:00,154.994,155.047,154.876,154.951,0,0
2018-01-31,23:59:00,154.958,155.092,154.842,155.031,0,0
2018-02-01,01:00:00,155.025,155.167,155.01,155.051,0,0
2018-02-01,02:00:00,155.049,155.153,154.964,155.091,0,0
2018-02-01,03:00:00,155.1,155.415,155.069,155.37,0,0
2018-02-01,04:00:00,155.37,155.451,155.177,155.224,0,0
2018-02-01,05:00:00,155.223,155.342,155.209,155.243,0,0
2018-02-01,06:00:00,155.25,155.25,155.088,155.125,0,0
2018-02-01,07:00:00,155.127,155.177,155.061,155.164,0,0
2018-02-01,08:00:00,155.174,155.265,155.092,155.211,0,0
